gene bac body
100160227 930 1201
100160230 225 479
100160232 94 510
100160233 2020 1812
100160234 204 188
100160235 1454 1052
100160237 14 191
100160238 7655 10230
100160240 703 964
100160241 182 415
100160246 149 279
100160247 32 208
100160248 56 204
100160249 520 531
100160250 427 535
100160251 2408 449
100160252 9 475
100160253 26 484
100160254 1587 1733
100160255 1472 1471
100160256 933 647
100160257 23 9
100160259 1565 2609
100160260 3958 3203
100160261 9589 9504
100160262 33 24
100160263 1109 1471
100160264 521 592
100160265 513 1072
100160266 5049 4551
100160267 12 129
100160268 575 2812
100160269 746 1316
100160271 932 912
100160272 0 0
100160273 59 104
100160274 0 0
100160275 3174 3630
100160276 488 554
100160277 884 984
100160278 2 5
100160279 1798 3817
100160280 2 37
100160281 147 188
100160284 2939 3878
100160285 142 124
100160286 0 2
100160287 1091 1775
100160289 335 528
100160291 437 452
100160292 906 10727
100160293 29547 26291
100160294 4641 6013
100160295 655 884
100160296 805 1627
100160298 0 0
100160299 400 582
100160300 802 1769
100160301 430 2301
100160303 311 404
100160304 108 137
100160305 33 1139
100160306 376 721
100160307 551 955
100160308 1750 1848
100160309 402 101
100160310 1187 13993
100160311 11 694
100160312 9 45
100160313 5964 8168
100160314 1293 1579
100160315 625 764
100160317 310 470
100160318 4290 4620
100160319 188 134
100160321 739 1931
100160322 932 937
100160324 0 25
100160326 42 31
100160327 5 13
100160328 841 517
100160329 266 323
100160330 491 778
100160332 159 475
100160333 582 1303
100160334 405 511
100160335 416 484
100160337 4 50
100160338 697 604
100160340 12919 13061
100160341 35 967
100160342 6 3
100160344 1129 2304
100160345 2401 2281
100160347 783 957
100160348 0 0
100160350 902 1337
100160351 1 33
100160352 129 895
100160353 2524 2023
100160354 4629 3831
100160356 2066 11851
100160357 372 500
100160359 2040 3112
100160360 907 1643
100160361 221 218
100160363 297 524
100160364 2689 2379
100160365 564 530
100160366 13 214
100160367 1709 1811
100160368 5323 12317
100160369 571 1190
100160370 2406 2150
100160371 1842 1738
100160372 446 902
100160373 200 263
100160375 1034 1182
100160376 891 883
100160377 1 66
100160379 249 280
100160380 6877 5097
100160381 1 64
100160382 103 117
100160383 3062 2117
100160384 6038 3749
100160385 2830 4410
100160386 4789 6164
100160387 1112 687
100160388 68 101
100160390 23 686
100160392 591 750
100160393 611 945
100160394 527 313
100160395 461 725
100160396 9 21
100160397 223 315
100160398 152 280
100160399 2050 2082
100160401 481 965
100160402 2 81
100160404 1 194
100160406 7877 8288
100160408 1978 2413
100160409 1618 1472
100160410 438 261
100160411 12 288
100160412 611 9373
100160413 54 1883
100160415 43 114
100160416 421 487
100160417 0 0
100160419 429 313
100160420 0 139
100160421 2874 10847
100160423 0 0
100160425 283 428
100160427 3946 2180
100160428 397 355
100160429 3177 3482
100160430 1 4
100160431 280 1955
100160432 251 331
100160433 1409 1686
100160435 4125 4735
100160436 0 0
100160440 5341 4285
100160441 204 228
100160442 3953 1471
100160443 200 318
100160444 243 396
100160446 1153 1583
100160447 1841 1851
100160448 290 473
100160449 790 1017
100160450 600 794
100160451 364 1015
100160452 16 250
100160453 0 0
100160456 1432 1758
100160457 8769 382
100160459 219 3798
100160461 961 823
100160462 44 732
100160464 8636 1783
100160465 323 426
100160466 290 551
100160467 647 1369
100160468 2746 3943
100160469 870 1190
100160470 1484 1797
100160471 350 374
100160472 1026 1127
100160473 564 786
100160474 550 601
100160475 17 215
100160476 284 387
100160477 14 54
