gene trans1 trans2 trans3 trans4 trans5 trans6
ScZCZ4B_130.g15087 4 10 22 6 4 3
ScZCZ4B_130.g15088 1 0 2 0 0 0
ScZCZ4B_130.g15089 4 2 14 2 0 2
ScZCZ4B_130.g15090 11 6 16 0 8 0
ScZCZ4B_130.g15091 13 10 22 2 0 0
ScZCZ4B_130.g15092 0 0 0 0 0 0
ScZCZ4B_130.g15093 8 8 20 2 4 2
ScZCZ4B_130.g15094 9 7 13 2 0 1
ScZCZ4B_130.g15095 24 4 26 2 3 4
ScZCZ4B_130.g15096 8 4 6 2 3 0
ScZCZ4B_130.g15097 16 1 8 10 2 8
ScZCZ4B_130.g15098 20 10 12 13 8 4
ScZCZ4B_130.g15099 8 0 13 0 3 0
ScZCZ4B_130.g15100 37 10 40 5 2 2
ScZCZ4B_130.g15101 8 0 5 0 4 2
ScZCZ4B_130.g15102 8 0 11 0 4 2
ScZCZ4B_130.g15103 36 26 53 12 21 7
ScZCZ4B_130.g15104 2 4 0 1 2 0
ScZCZ4B_130.g15105 0 0 0 0 0 0
ScZCZ4B_130.g15106 5 2 7 4 0 0
ScZCZ4B_130.g15107 21 36 19 15 31 9
ScZCZ4B_130.g15108 32 31 114 10 12 12
ScZCZ4B_130.g15109 8 2 22 1 4 4
ScZCZ4B_130.g15110 38 15 43 19 28 3
ScZCZ4B_130.g15111 8 0 11 8 5 0
ScZCZ4B_130.g15112 590 269 996 563 797 381
ScZCZ4B_130.g15113 258 139 189 201 108 56
ScZCZ4B_130.g15114 1510 668 1943 1167 990 717
ScZCZ4B_130.g15115 0 0 0 0 0 0
ScZCZ4B_1301.g13140 0 0 0 0 0 0
ScZCZ4B_13011.g13119 0 0 0 0 0 0
ScZCZ4B_13020.g7302 0 0 2 0 2 0
ScZCZ4B_1303.g5942 0 0 0 0 0 0
ScZCZ4B_13036.g4144 0 0 0 0 0 0
ScZCZ4B_1306.g7354 0 0 1 0 0 0
ScZCZ4B_1306.g7355 37 4 8 18 36 0
ScZCZ4B_13076.g4148 3 0 2 0 0 0
ScZCZ4B_1308.g4308 0 2 0 0 0 10
ScZCZ4B_1310.g4433 0 0 0 0 0 0
ScZCZ4B_13102.g15179 0 0 0 0 0 0
ScZCZ4B_1311.g2321 0 0 0 0 0 0
ScZCZ4B_1312.g1038 0 0 0 0 0 0
ScZCZ4B_1313.g19957 20 12 40 27 13 12
ScZCZ4B_13147.g4282 0 0 1 0 0 0
ScZCZ4B_1318.g4448 0 0 0 0 0 0
ScZCZ4B_1319.g2280 6 0 6 2 0 1
ScZCZ4B_1319.g2281 0 4 3 1 1 2
ScZCZ4B_13192.g6859 0 0 1 0 0 0
ScZCZ4B_132.g7227 0 0 0 0 0 0
ScZCZ4B_1320.g12912 41 19 133 7 25 10
ScZCZ4B_13200.g4380 0 0 0 0 0 0
ScZCZ4B_1323.g18191 65 6 96 57 65 35
ScZCZ4B_13230.g4416 5 4 17 5 4 3
ScZCZ4B_1326.g4198 0 0 0 0 0 0
ScZCZ4B_1327.g4184 0 0 0 0 1 0
ScZCZ4B_13281.g4484 2 0 3 4 0 2
ScZCZ4B_1329.g4149 8 16 16 2 4 1
ScZCZ4B_13299.g13168 0 0 0 0 0 0
ScZCZ4B_133.g15200 0 0 0 0 0 0
ScZCZ4B_1330.g18287 2 0 10 2 3 0
ScZCZ4B_13306.g13169 4 0 10 0 0 0
ScZCZ4B_1332.g13251 28 27 79 16 52 23
ScZCZ4B_1333.g10748 0 0 0 0 0 0
ScZCZ4B_13371.g7158 0 0 0 0 0 0
ScZCZ4B_13383.g7146 5 2 20 2 6 2
ScZCZ4B_13384.g15208 0 2 8 0 4 0
ScZCZ4B_1339.g18023 0 0 0 0 0 0
ScZCZ4B_1340.g18101 0 0 0 0 0 0
ScZCZ4B_13408.g5968 14 5 27 9 10 9
ScZCZ4B_1341.g4624 0 0 0 0 0 0
ScZCZ4B_13449.g2266 22 4 30 18 18 14
ScZCZ4B_1345.g4566 0 0 2 0 0 0
ScZCZ4B_1346.g12942 59 18 146 3 13 11
ScZCZ4B_1346.g12943 1399 475 3021 220 212 191
ScZCZ4B_1346.g12944 155 237 480 78 87 27
ScZCZ4B_1346.g12945 113 46 215 41 76 64
ScZCZ4B_1346.g12946 48 18 53 2 19 9
ScZCZ4B_13463.g2430 0 0 0 0 0 0
ScZCZ4B_13480.g4263 0 0 6 4 2 0
ScZCZ4B_13504.g15141 14 8 33 11 16 15
ScZCZ4B_13557.g6968 0 0 0 0 0 0
ScZCZ4B_1356.g15065 0 0 6 0 0 0
ScZCZ4B_13569.g1064 0 0 0 0 0 0
ScZCZ4B_1358.g18027 0 0 0 0 0 0
ScZCZ4B_13592.g2317 7 0 15 0 4 2
ScZCZ4B_13593.g7116 0 2 12 6 2 1
ScZCZ4B_136.g18198 2 2 7 0 0 2
ScZCZ4B_136.g18199 3 1 12 0 3 0
ScZCZ4B_13608.g13088 2 8 14 7 3 2
ScZCZ4B_1362.g4589 0 0 0 0 0 0
ScZCZ4B_1362.g4590 0 0 0 0 0 0
ScZCZ4B_13633.g4561 0 0 0 0 0 0
ScZCZ4B_13689.g4480 33 32 26 26 35 12
ScZCZ4B_1370.g12995 7 2 16 0 0 0
ScZCZ4B_1373.g13255 30 1 23 8 37 5
ScZCZ4B_13747.g6967 0 2 2 0 0 0
ScZCZ4B_1375.g18170 0 0 0 0 0 0
ScZCZ4B_1376.g18183 0 0 0 0 0 0
ScZCZ4B_138.g39 283 92 217 282 238 429
ScZCZ4B_138.g40 0 0 1 0 0 0
ScZCZ4B_1380.g7301 281 111 559 89 107 55
ScZCZ4B_13804.g18327 0 0 3 0 2 0
ScZCZ4B_1381.g18095 27 16 38 9 14 6
ScZCZ4B_1383.g4558 0 0 0 0 0 0
ScZCZ4B_13853.g4276 33 2 40 39 16 43
ScZCZ4B_13870.g12930 2 0 0 0 0 0
ScZCZ4B_13872.g7153 0 0 0 0 0 0
ScZCZ4B_13883.g13173 102 50 164 37 94 45
ScZCZ4B_13888.g1186 0 0 0 0 0 0
ScZCZ4B_1389.g9396 0 0 0 0 0 0
ScZCZ4B_1389.g9397 0 0 1 0 0 0
ScZCZ4B_139.g15137 0 0 0 0 0 0
ScZCZ4B_1390.g2455 0 0 0 2 0 0
ScZCZ4B_1391.g4301 42 8 79 10 11 1
ScZCZ4B_13914.g19955 6 2 8 0 0 4
ScZCZ4B_1392.g13040 0 0 0 0 0 0
ScZCZ4B_13924.g19930 5 0 0 0 0 0
ScZCZ4B_13930.g1104 0 0 0 0 0 0
ScZCZ4B_1396.g4319 2 0 0 0 0 2
ScZCZ4B_1399.g4491 2 4 6 0 6 0
ScZCZ4B_1399.g4492 0 0 0 0 0 0
ScZCZ4B_14.g15192 27 6 6 1 8 4
ScZCZ4B_14.g15193 0 0 0 0 0 0
ScZCZ4B_1400.g1330 0 0 0 0 1 0
ScZCZ4B_14020.g18159 13 5 15 2 0 0
ScZCZ4B_14044.g4338 0 0 7 0 2 2
