gene male1 male2 female1 female2 asexual1 asexual2
100159250 209 154 295 368 534 434
100159251 20 13 5 5 14 13
100159252 545 480 734 753 1009 627
100159253 872 710 1284 1413 2168 1950
100159254 466 363 855 946 901 946
100159255 1056 926 1333 1832 2026 2080
100159256 268 228 512 457 444 384
100159257 900 689 930 1168 1016 1002
100159258 209 189 815 1246 1023 1290
100159259 5 1 1 0 5 1
100159260 478 364 393 440 586 465
100159261 165 122 669 778 771 750
100159262 237 172 57 73 198 169
100159263 1627 1139 298 345 1564 1125
100159264 2046 1491 222 581 518 712
100159265 913 832 643 1066 831 1214
100159268 246 198 458 670 451 523
100159271 181 120 140 176 128 125
100159273 522 420 418 389 1515 646
100159274 186 130 99 196 222 305
100159275 290 244 297 314 634 405
100159276 2 8 0 0 0 2
100159277 21934 18065 1155 1552 6064 3634
100159278 2328 1692 1790 2155 4015 2604
100159279 13107 9646 2671 4628 13537 10979
100159280 1878 1447 72 180 674 866
100159282 16 8 0 1 28 23
100159283 48 55 5 7 66 43
100159285 54 48 106 140 90 100
100159286 1864 1506 460 571 818 738
100159287 547 439 448 512 1395 1036
100159289 2 3 0 1 1 2
100159291 473 406 282 388 471 603
100159292 17 20 301 282 340 304
100159293 82 58 17 28 113 113
100159296 179 156 316 328 463 409
100159297 370 291 132 156 204 120
100159298 347 306 106 222 326 339
100159299 426 371 387 525 403 423
100159302 689 621 816 1057 499 566
100159303 457 323 284 331 314 291
100159304 1017 919 473 1230 719 1125
100159306 550 432 679 1712 873 1465
100159307 165 149 326 302 308 232
100159309 1515 1295 2389 2033 4918 3280
100159310 521 391 284 630 634 890
100159311 650 510 641 805 1278 1016
100159313 303 224 30 51 423 296
100159314 235 169 173 251 314 444
100159315 5774 4429 277 402 808 1036
100159316 168 111 14 29 175 199
100159317 3253 2832 2561 4586 3278 4257
100159318 1169 820 592 792 1711 1529
100159320 194 164 232 301 281 314
100159321 810 593 100 170 458 314
100159323 52 34 5 8 65 42
100159324 1297 916 33 158 195 365
100159325 127 107 197 217 19 27
100159326 1168 785 743 1036 635 785
100159327 378 338 94 135 215 171
100159328 906 650 627 869 605 807
100159329 961 791 406 646 1305 862
100159330 256 671 1 1 35 35
100159331 7162 4955 2344 3029 2831 2554
100159332 69 77 26 34 1141 755
100159333 8 13 3 8 10 16
100159334 576 406 572 622 818 603
100159336 19 12 0 0 1 0
100159337 1883 1402 1098 1322 3537 2301
